disease_id,symptom_name
泛细支气管炎,咳嗽
泛细支气管炎,活动后气促
急性肺炎,咳嗽
急性肺炎,精神萎靡
胃窦炎,胃痛
胃窦炎,胃脘饱胀
间质性肺炎,摸空症
间质性肺炎,干咳
胃出血,呕血
胃出血,黑便
神经性头痛,重度痛
神经性头痛,头晕
病毒性感冒,鼻塞
病毒性感冒,流鼻涕
脑炎,乏力
脑炎,身痛
肾病,水肿
肾病,尿蛋白
神经性耳鸣,耳鸣
神经性耳鸣,耳内发胀
食管炎,吞咽困难
食管炎,咽喉疼痛
眩晕症,眩晕
眩晕症,耳鸣
鼻咽炎,咽痛
鼻咽炎,打喷嚏
肺热,喉痒咳嗽
肺热,咽痛
支气管病,咳嗽
支气管病,夜间咳嗽
肺纤维化,紫绀
肺纤维化,干咳
肺病,咳嗽
肺病,胸痛
小细胞肺癌,乏力
小细胞肺癌,淋巴道转移
化脓性扁桃体炎,高热
化脓性扁桃体炎,咽喉疼痛
陈旧性肺结核,咳嗽
糜烂性胃炎,恶心
糜烂性胃炎,上消化道出血
肠粘连,腹痛
肠粘连,嗳气
胃肠湿热,胃灼热
胃肠湿热,腹痛
胃柿石,上腹部疼痛
胃柿石,恶心与呕吐
慢性非萎缩性胃炎,烧心
慢性非萎缩性胃炎,反酸
贲门炎,恶心
贲门炎,反胃
寄生虫病,脐周疼痛
寄生虫病,消化不良
慢性糜烂性胃炎,恶心
慢性糜烂性胃炎,左上腹痛
溃疡性肠炎,慢性腹痛
溃疡性肠炎,腹痛
泌尿感染,尿频伴尿急和尿痛
泌尿感染,发烧
膀胱过度活动症,膀胱功能障碍
膀胱过度活动症,尿急
β-氨基酸尿,小脑性共济失调
β-氨基酸尿,少尿
氨基酸尿症,智力发育迟缓
氨基酸尿症,蛋氨酸吸收不良综合征
安卡性肾炎,肾痛
安卡性肾炎,尿泡沫
肾虚,滑精
肾虚,肾火旺
膀胱炎,尿频
膀胱炎,尿痛
尿道炎,尿痛
尿道炎,发热伴尿频
尿道炎,尿
遗尿症,小儿遗尿
遗尿症,尿急
尿路感染,尿频
尿路感染,血尿
肾上腺囊肿,四肢无力
肾上腺囊肿,疲乏
冠状动脉供血不足,心绞痛
冠状动脉供血不足,胸痛
心房颤动,心绞痛
心房颤动,胸闷
急性冠脉综合征,胸痛
急性冠脉综合征,胸闷
窦性心动过缓,迟脉
窦性心动过缓,胸闷
高血压性心脏病,呼吸困难
高血压性心脏病,劳动后气急
高脂血症,血管硬化
高脂血症,黄色结节
室性心律失常,心慌气短
室性心律失常,心慌
恶性高血压,血压高
恶性高血压,氮质血症
心血管疾病,心跳过速
心血管疾病,疲劳
右束支传导阻滞,传导阻滞
右束支传导阻滞,心电图异常
老年人低血压,血压下降
老年人低血压,消瘦
双主动脉弓,主动脉弓右位
双主动脉弓,吞咽困难
血毒,心慌
血毒,头晕
血稠,头晕
血稠,呼吸困难
血小板减少性紫癜,尿胆红素阴性
血小板减少性紫癜,皮肤黏膜紫斑
血瘀体质,剧烈疼痛
血瘀体质,瘀血性痛经
血液病,反复感染
血液病,齿龈出血
低钙血症,睡觉时小腿抽筋
低钙血症,骨软化
溶血性黄疸,皮肤呈黄绿或绿褐色
溶血性黄疸,血红蛋白尿
营养性贫血,口唇苍白
营养性贫血,面色苍白
老年人原发性...,红细胞增多
老年人原发性...,鼻出血
小细胞低色素性贫血,红细胞偏低
小细胞低色素性贫血,晕厥
老年人多发性骨髓瘤,乏力
老年人多发性骨髓瘤,骨质破坏
