name,label
化痰散结,Efficacy
祛瘀止痛,Efficacy
清热解毒,Efficacy
拔毒生肌药,Category
大部分地区都有。,Origin
药蔹启秘,Literature
内外验方秘传,Literature
矿物药浅说,Literature
本品有大毒，不可内服外用亦不宜大量持久使用（或接触伤口）,Contraindication
消肿,Efficacy
攻毒,Efficacy
祛腐敛疮,Efficacy
杀虫、止血,Efficacy
纲目拾遗,Literature
本经逢原,Literature
不药良方,Literature
本品有毒，不可内服外用亦不宜大量持久使用（或接触伤口）,Contraindication
解毒、明目退翳,Efficacy
收湿止痒、敛疮,Efficacy
审视\u3000瑶函,Literature
古今医鉴,Literature
纲目,Literature
玉楸药解,Literature
御药院方,Literature
品汇精要,Literature
仁斋直指方论,Literature
忌内服①洗剂振摇均匀后涂搽患处②密闭保存,Contraindication
清热消痰,Efficacy
解毒防腐,Efficacy
本草求原,Literature
银海精微,Literature
普济方,Literature
中草药新医疗法资料选编,Literature
日华子本草,Literature
疡医大全,Literature
方脉正宗,Literature
本草汇言,Literature
体弱者慎服内服宜慎《本草汇言》：阴虚津燥，髓竭营桔，而成肺屡热胀，痹闷不通诸侯，法当禁用,Contraindication
散结毒,Efficacy
消痈肿,Efficacy
姚希周经验方,Literature
年希尧集验良方,Literature
本草从新,Literature
安徽中草药,Literature
陕西中草药,Literature
百草镜,Literature
尚不明确,Contraindication
清热利湿,Efficacy
解毒消肿,Efficacy
利水渗湿退黄药,Category
四川中药志,Literature
浙江药用植物志,Literature
福建药物志,Literature
陕甘宁青中草药选,Literature
脾胃虚寒者不宜单独服用（可加少许生姜或大枣）,Contraindication
利湿退黄,Efficacy
疏肝止痛.,Efficacy
药植图鉴,Literature
广西民间常用中草药手册,Literature
中草药新医疗法处方集,Literature
南宁市药物志,Literature
常用中草药手册,Literature
虚寒体弱者慎用,Contraindication
祛风利湿,Efficacy
散瘀定痛,Efficacy
止咳化痰,Efficacy
全国中草药资料选编,Literature
上海常用中草药,Literature
医林纂要,Literature
药性论,Literature
姚僧坦集验方,Literature
滇南本草,Literature
圣惠方,Literature
本草拾遗,Literature
中医药实验研究,Literature
孕妇忌服,Contraindication
退黄,Efficacy
千金方,Literature
圣济总录,Literature
玉机微义,Literature
伤寒论,Literature
非因湿热引起的发黄忌服茵陈蓄血发黄者，热甚发黄，无湿气，禁用茵陈,Contraindication
肺实喘满,Efficacy
咳嗽,Efficacy
多痰,Efficacy
胃脘疼痛,Efficacy
止咳平喘药,Category
草药手册,Literature
本草经疏,Literature
润肺止咳,Efficacy
杀虫灭虱,Efficacy
洞天奥旨,Literature
小儿药证直诀,Literature
续十全方,Literature
新本草纲目,Literature
青岛中草药手册,Literature
脾胃虚弱者慎服；热嗽、水亏火炎者禁用百部,Contraindication
润肺下气,Efficacy
消痰止咳,Efficacy
鸡峰普济方,Literature
唐本草,Literature
本草再新,Literature
本经,Literature
本草图经,Literature
实热者慎服,Contraindication
破血行气,Efficacy
消积止痛,Efficacy
活血化瘀药,Category
BTV科教频道,Literature
开宝本草,Literature
医学入门,Literature
丹溪心法,Literature
孕妇禁服、虚人禁之、凡经事先期，及一切血热为病者忌之,Contraindication
破血行气、消积止痛,Efficacy
黑龙江,Origin
吉林,Origin
辽宁等地,Origin
医学启源,Literature
新疆中草药手册,Literature
医学切问,Literature
全国中草药汇编,Literature
济生方,Literature
全婴方,Literature
气虚体弱、血枯经闭、月经过多、孕妇、血症者忌服,Contraindication
补益肝肾,Efficacy
涩精固脱,Efficacy
收涩固精缩尿止带药,Category
衷中参西录,Literature
本草经集注,Literature
金匮要略,Literature
全生指迷方,Literature
扶寿精方,Literature
方龙潭家秘,Literature
凡命门火炽，强阳不痿，素有湿热，小便淋涩者忌服《本草经集注》：蓼实为之使恶桔梗、防风、防己,Contraindication
止血生肌,Efficacy
化瘀止血药,Category
杨氏家藏方,Literature
摘玄方,Literature
医林集要,Literature
朱氏集验医方,Literature
海药本草,Literature
