source,target,target_type,relation
红粉,化痰散结,Efficacy,has_efficacy
红粉,祛瘀止痛,Efficacy,has_efficacy
红粉,清热解毒,Efficacy,has_efficacy
红粉,拔毒生肌药,Category,belongs_to
红粉,大部分地区都有。,Origin,produced_in
红粉,药蔹启秘,Literature,cited_by
红粉,内外验方秘传,Literature,cited_by
红粉,矿物药浅说,Literature,cited_by
红粉,本品有大毒，不可内服外用亦不宜大量持久使用（或接触伤口）,Contraindication,has_contraindication
藤黄,消肿,Efficacy,has_efficacy
藤黄,攻毒,Efficacy,has_efficacy
藤黄,祛腐敛疮,Efficacy,has_efficacy
藤黄,杀虫、止血,Efficacy,has_efficacy
藤黄,拔毒生肌药,Category,belongs_to
藤黄,纲目拾遗,Literature,cited_by
藤黄,本经逢原,Literature,cited_by
藤黄,不药良方,Literature,cited_by
藤黄,本品有毒，不可内服外用亦不宜大量持久使用（或接触伤口）,Contraindication,has_contraindication
炉甘石,解毒、明目退翳,Efficacy,has_efficacy
炉甘石,收湿止痒、敛疮,Efficacy,has_efficacy
炉甘石,拔毒生肌药,Category,belongs_to
炉甘石,审视\u3000瑶函,Literature,cited_by
炉甘石,古今医鉴,Literature,cited_by
炉甘石,纲目,Literature,cited_by
炉甘石,玉楸药解,Literature,cited_by
炉甘石,御药院方,Literature,cited_by
炉甘石,品汇精要,Literature,cited_by
炉甘石,仁斋直指方论,Literature,cited_by
炉甘石,忌内服①洗剂振摇均匀后涂搽患处②密闭保存,Contraindication,has_contraindication
硼砂,清热消痰,Efficacy,has_efficacy
硼砂,解毒防腐,Efficacy,has_efficacy
硼砂,拔毒生肌药,Category,belongs_to
硼砂,本草求原,Literature,cited_by
硼砂,纲目,Literature,cited_by
硼砂,银海精微,Literature,cited_by
硼砂,普济方,Literature,cited_by
硼砂,中草药新医疗法资料选编,Literature,cited_by
硼砂,日华子本草,Literature,cited_by
硼砂,疡医大全,Literature,cited_by
硼砂,方脉正宗,Literature,cited_by
硼砂,本草汇言,Literature,cited_by
硼砂,体弱者慎服内服宜慎《本草汇言》：阴虚津燥，髓竭营桔，而成肺屡热胀，痹闷不通诸侯，法当禁用,Contraindication,has_contraindication
土贝母,散结毒,Efficacy,has_efficacy
土贝母,消痈肿,Efficacy,has_efficacy
土贝母,拔毒生肌药,Category,belongs_to
土贝母,姚希周经验方,Literature,cited_by
土贝母,年希尧集验良方,Literature,cited_by
土贝母,本草从新,Literature,cited_by
土贝母,安徽中草药,Literature,cited_by
土贝母,陕西中草药,Literature,cited_by
土贝母,纲目拾遗,Literature,cited_by
土贝母,百草镜,Literature,cited_by
土贝母,尚不明确,Contraindication,has_contraindication
垂盆草,清热利湿,Efficacy,has_efficacy
垂盆草,解毒消肿,Efficacy,has_efficacy
垂盆草,利水渗湿退黄药,Category,belongs_to
垂盆草,四川中药志,Literature,cited_by
垂盆草,安徽中草药,Literature,cited_by
垂盆草,浙江药用植物志,Literature,cited_by
垂盆草,福建药物志,Literature,cited_by
垂盆草,陕甘宁青中草药选,Literature,cited_by
垂盆草,脾胃虚寒者不宜单独服用（可加少许生姜或大枣）,Contraindication,has_contraindication
鸡骨草,利湿退黄,Efficacy,has_efficacy
鸡骨草,清热解毒,Efficacy,has_efficacy
鸡骨草,疏肝止痛.,Efficacy,has_efficacy
鸡骨草,利水渗湿退黄药,Category,belongs_to
鸡骨草,药植图鉴,Literature,cited_by
鸡骨草,广西民间常用中草药手册,Literature,cited_by
