source,target,type
葛根汤,风寒,Prescription
三物黄芩汤,直肠癌,Prescription
三物黄芩汤,肠癌,Prescription
三物黄芩汤,阴虚,Prescription
养阴清肺汤,阴虚,Prescription
养阴清肺汤,白喉,Prescription
五积散,痛经,Prescription
五积散,慢性盆腔炎,Prescription
五积散,风寒,Prescription
五积散,头痛,Prescription
五积散,感冒,Prescription
五积散,闭经,Prescription
五积散,盆腔炎,Prescription
柴胡疏肝散,腹胀,Prescription
牛蒡解肌汤,急性咽炎,Prescription
牛蒡解肌汤,疮疡,Prescription
牛蒡解肌汤,咽炎,Prescription
牛蒡解肌汤,头痛,Prescription
牛蒡解肌汤,恶寒发热,Prescription
清经散,倒经,Prescription
清经散,闭经,Prescription
清经散,黄体功能不全,Prescription
玉液汤,干燥综合征,Prescription
玉液汤,气阴两虚,Prescription
玉液汤,肾病,Prescription
玉液汤,咽炎,Prescription
赤小豆当归散,狐惑,Prescription
赤小豆当归散,伤寒,Prescription
赤小豆当归散,痔疮,Prescription
赤小豆当归散,疮疡,Prescription
赤小豆当归散,尿路感染,Prescription
赤小豆当归散,脓肿,Prescription
柴胡桂枝汤,咳嗽,Prescription
柴胡桂枝汤,胆石,Prescription
柴胡桂枝汤,眩晕症,Prescription
柴胡桂枝汤,胰腺炎,Prescription
柴胡桂枝汤,风寒,Prescription
柴胡桂枝汤,头痛,Prescription
柴胡桂枝汤,眩晕,Prescription
柴胡桂枝汤,麻疹,Prescription
柴胡桂枝汤,喘证,Prescription
身痛逐瘀汤,脑外伤,Prescription
身痛逐瘀汤,神经炎,Prescription
身痛逐瘀汤,腰椎间盘突出,Prescription
身痛逐瘀汤,筋膜炎,Prescription
身痛逐瘀汤,脑外伤后综合征,Prescription
保元汤,贫血,Prescription
保元汤,惊恐症,Prescription
保元汤,冠心病,Prescription
保元汤,肾功能不全,Prescription
保元汤,慢性肾功能不全,Prescription
保元汤,白细胞减少症,Prescription
益气聪明汤,耳鸣,Prescription
益气聪明汤,耳聋,Prescription
黛蛤散（青蛤丸）,咳嗽,Prescription
黛蛤散（青蛤丸）,肺结核,Prescription
黛蛤散（青蛤丸）,耳鸣,Prescription
黛蛤散（青蛤丸）,肝火犯肺,Prescription
黛蛤散（青蛤丸）,眩晕,Prescription
猪苓汤,咳嗽,Prescription
猪苓汤,肾病,Prescription
猪苓汤,颅脑损伤,Prescription
猪苓汤,尿路感染,Prescription
猪苓汤,腹水,Prescription
三才封髓丹,早泄,Prescription
三才封髓丹,阴虚,Prescription
增液承气汤,尿潴留,Prescription
增液承气汤,有机磷农药中毒,Prescription
增液承气汤,农药中毒,Prescription
半夏秫米汤,痰饮,Prescription
半夏秫米汤,眩晕,Prescription
三圣散,中风,Prescription
盐汤探吐方,霍乱,Prescription
盐汤探吐方,腹胀,Prescription
救急稀涎散,中风,Prescription
救急稀涎散,脑外伤,Prescription
封髓丹,遗精,Prescription
五子衍宗丸,早泄,Prescription
五子衍宗丸,弱精,Prescription
五子衍宗丸,阳痿,Prescription
五子衍宗丸,肾虚,Prescription
五子衍宗丸,遗精,Prescription
五子衍宗丸,勃起功能障碍,Prescription
缩泉丸,遗尿,Prescription
缩泉丸,小儿遗尿,Prescription
水陆二仙丹,宫颈炎,Prescription
水陆二仙丹,糖尿病肾病,Prescription
水陆二仙丹,肾虚,Prescription
水陆二仙丹,肾病,Prescription
水陆二仙丹,遗精,Prescription
桂枝葛根汤（桂枝加葛根汤）,风寒,Prescription
建瓯汤,偏头痛,Prescription
建瓯汤,耳鸣,Prescription
建瓯汤,头痛,Prescription
建瓯汤,脑梗死,Prescription
建瓯汤,呃逆,Prescription
建瓯汤,眩晕,Prescription
厚朴七物汤,消化不良,Prescription
厚朴七物汤,胰腺炎,Prescription
厚朴七物汤,痔疮,Prescription
厚朴七物汤,习惯性便秘,Prescription
厚朴七物汤,肠胃型感冒,Prescription
厚朴七物汤,感冒,Prescription
生脉饮,气阴两虚,Prescription
生脉饮,慢性心力衰竭,Prescription
生脉饮,小细胞肺癌,Prescription
生脉饮,中风,Prescription
生脉饮,肺癌,Prescription
