prescription_name,herb_name,dosage
葛根汤,葛根四两（,12g）
葛根汤,麻黄三两（,9g）
葛根汤,桂枝二两（,6g）
葛根汤,芍药二两（,6g）
葛根汤,甘草二两（,6g）
葛根汤,生姜三两（,9g）
葛根汤,大枣,十二枚
三物黄芩汤,黄芩,6g）
三物黄芩汤,苦参各二两（,6g）
三物黄芩汤,干地黄四两（,12g）
参附龙牡汤,熟附子,10~30g
参附龙牡汤,人参,10~30g
参附龙牡汤,龙骨(煅,适量
参附龙牡汤,)、牡蛎(煅,适量
参附龙牡汤,),10~25g
参附龙牡汤,白芍,5g
参附龙牡汤,甘草,5g
麻黄杏仁甘草石膏汤,麻黄三钱(,9克)、杏仁三钱(9克)、甘草两钱(6克)、石膏(先煎)一两(30克)
当归四逆加吴茱萸生姜汤,当归,9克
当归四逆加吴茱萸生姜汤,芍药,9克
当归四逆加吴茱萸生姜汤,甘草,6克（炙）通草3克
当归四逆加吴茱萸生姜汤,桂枝,9克（去皮）细辛1.5克
当归四逆加吴茱萸生姜汤,生姜,15克（切）吴茱萸5克
当归四逆加吴茱萸生姜汤,大枣,5枚（擘）
参附汤,人参一两(,30克)、附子半两(10克)
养阴清肺汤,大生地,6g
养阴清肺汤,麦冬,9g
养阴清肺汤,玄参,9g
养阴清肺汤,生甘草、薄荷,3g
养阴清肺汤,贝母,5g
养阴清肺汤,丹皮,5g
养阴清肺汤,白芍,5g
四逆加人参汤,甘草,6克（炙）附子10克（生
四逆加人参汤,）干姜,4.5克
四逆加人参汤,人参,3克
五积散,】苍术,600克)
五积散,桔梗各二十两(,600克)
五积散,枳壳,180克)
五积散,陈皮各六两(,180克)
五积散,芍药,90克)
五积散,白芷,90克)
五积散,川芎,90克)
五积散,当归,90克)
五积散,甘草,90克)
五积散,肉桂,90克)
五积散,茯苓,90克)
五积散,半夏各三两(,90克)
五积散,厚朴干姜各四两(,120克)
五积散,麻黄六两(,180克)
柴胡疏肝散,醋陈皮,6g）
柴胡疏肝散,柴胡各二钱（,6g）
柴胡疏肝散,川芎,5g）
柴胡疏肝散,香附,5g）
柴胡疏肝散,枳壳麸,5g）
柴胡疏肝散,芍药各一钱半（,5g）
柴胡疏肝散,甘草五分（,3g）
牛蒡解肌汤,牛蒡子(,9克)、薄荷(3克)、荆芥(12克)、连翘(9克)、山栀子(9克)、牡丹皮(9克)、石斛(9克)、玄参(9克)、夏枯草(9克)
清经散,牡丹皮(,9克)、地骨皮(15克)、白芍（酒炒）(9克)、大熟地黄（九蒸）(6克)、青蒿(6克)、白茯苓(3克)、黄柏（盐水浸炒）(1.5克)
