prescription,target,usage_method
葛根汤,太阳病,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,项背几几,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,无汗恶风,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,太阳阳明合病下利,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,外感风寒表实,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,项背强,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,血衄,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,痉病,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,气上冲胸,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,口噤不语,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,小便少,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,卒倒僵仆,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,颈椎病,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,多囊卵巢综合症,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
葛根汤,痤疮,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。
三物黄芩汤,产后血亏阴虚,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,风邪入里化热,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,四肢烦热,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,自身免疫性肝炎,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,直肠癌,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,产褥热,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,肺结核,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,灼热足综合征,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,神经官能症,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,自主神经功能失调,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,失眠,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,红斑性肢痛症,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,冻疮,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,荨麻疹,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,顽癣,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,阴痒,上三味以水800毫升煮取300毫升，分早晚两次温服
三物黄芩汤,阴肿,上三味以水800毫升煮取300毫升，分早晚两次温服
参附龙牡汤,阴阳俱竭、阳越于上证,每日1剂，水煎分3次服
参附龙牡汤,汗出肢冷,每日1剂，水煎分3次服
参附龙牡汤,面色浮红,每日1剂，水煎分3次服
参附龙牡汤,脉虚数或浮大无根,每日1剂，水煎分3次服
麻黄杏仁甘草石膏汤,外感风邪,水煎，温服。
麻黄杏仁甘草石膏汤,邪热壅肺证,水煎，温服。
麻黄杏仁甘草石膏汤,身热不解,水煎，温服。
麻黄杏仁甘草石膏汤,咳逆气急,水煎，温服。
麻黄杏仁甘草石膏汤,鼻煽,水煎，温服。
麻黄杏仁甘草石膏汤,口渴,水煎，温服。
麻黄杏仁甘草石膏汤,有汗或无汗,水煎，温服。
麻黄杏仁甘草石膏汤,舌苔薄白或黄,水煎，温服。
麻黄杏仁甘草石膏汤,脉浮而数,水煎，温服。
麻黄杏仁甘草石膏汤,感冒,水煎，温服。
麻黄杏仁甘草石膏汤,上呼吸道感染,水煎，温服。
麻黄杏仁甘草石膏汤,急性支气管炎,水煎，温服。
麻黄杏仁甘草石膏汤,支气管肺炎,水煎，温服。
麻黄杏仁甘草石膏汤,大叶性肺炎,水煎，温服。
麻黄杏仁甘草石膏汤,支气管哮喘,水煎，温服。
麻黄杏仁甘草石膏汤,麻疹合并肺炎,水煎，温服。
当归四逆加吴茱萸生姜汤,冻伤,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。
当归四逆加吴茱萸生姜汤,慢性头痛,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。
当归四逆加吴茱萸生姜汤,坐骨神经痛,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。
当归四逆加吴茱萸生姜汤,妇女腹痛,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。
当归四逆加吴茱萸生姜汤,贫血,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。
当归四逆加吴茱萸生姜汤,寒症,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。
当归四逆加吴茱萸生姜汤,头痛,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。
当归四逆加吴茱萸生姜汤,胃部有压重感,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。
当归四逆加吴茱萸生姜汤,腰痛,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。
当归四逆加吴茱萸生姜汤,腹痛,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。
参附汤,元气大亏,先将生姜、大枣用水煎汤，去渣留汁，以汤代水煎煮人参、附子，取汁徐徐饮服。目前临床多只用人参、附子二药，水煎服。病情严重者，可日服2剂。注射液肌内注射，或静脉滴注，每次2～10毫升，或遵医嘱。
参附汤,阳气暴脱,先将生姜、大枣用水煎汤，去渣留汁，以汤代水煎煮人参、附子，取汁徐徐饮服。目前临床多只用人参、附子二药，水煎服。病情严重者，可日服2剂。注射液肌内注射，或静脉滴注，每次2～10毫升，或遵医嘱。
参附汤,汗出粘冷,先将生姜、大枣用水煎汤，去渣留汁，以汤代水煎煮人参、附子，取汁徐徐饮服。目前临床多只用人参、附子二药，水煎服。病情严重者，可日服2剂。注射液肌内注射，或静脉滴注，每次2～10毫升，或遵医嘱。
参附汤,四肢不温,先将生姜、大枣用水煎汤，去渣留汁，以汤代水煎煮人参、附子，取汁徐徐饮服。目前临床多只用人参、附子二药，水煎服。病情严重者，可日服2剂。注射液肌内注射，或静脉滴注，每次2～10毫升，或遵医嘱。
参附汤,呼吸微弱,先将生姜、大枣用水煎汤，去渣留汁，以汤代水煎煮人参、附子，取汁徐徐饮服。目前临床多只用人参、附子二药，水煎服。病情严重者，可日服2剂。注射液肌内注射，或静脉滴注，每次2～10毫升，或遵医嘱。
