disease_name,department_name
泛细支气管炎,内科
泛细支气管炎,呼吸内科
急性肺炎,内科
急性肺炎,呼吸内科
胃窦炎,内科
胃窦炎,消化内科
间质性肺炎,内科
间质性肺炎,呼吸内科
胃出血,内科
胃出血,消化内科
神经性头痛,内科
神经性头痛,神经内科
病毒性感冒,内科
病毒性感冒,呼吸内科
脑炎,内科
脑炎,神经内科
肾病,内科
肾病,肾内科
神经性耳鸣,内科
神经性耳鸣,神经内科
食管炎,内科
食管炎,消化内科
眩晕症,内科
眩晕症,神经内科
鼻咽炎,内科
鼻咽炎,呼吸内科
肺热,内科
肺热,呼吸内科
支气管病,内科
支气管病,呼吸内科
肺纤维化,内科
肺纤维化,呼吸内科
肺病,内科
肺病,呼吸内科
小细胞肺癌,内科
小细胞肺癌,呼吸内科
化脓性扁桃体炎,内科
化脓性扁桃体炎,呼吸内科
陈旧性肺结核,内科
陈旧性肺结核,呼吸内科
糜烂性胃炎,内科
糜烂性胃炎,消化内科
肠粘连,内科
肠粘连,消化内科
胃肠湿热,内科
胃肠湿热,消化内科
胃柿石,内科
胃柿石,消化内科
慢性非萎缩性胃炎,内科
慢性非萎缩性胃炎,消化内科
贲门炎,内科
贲门炎,消化内科
寄生虫病,内科
寄生虫病,消化内科
慢性糜烂性胃炎,内科
慢性糜烂性胃炎,消化内科
溃疡性肠炎,内科
溃疡性肠炎,消化内科
泌尿感染,内科
泌尿感染,泌尿内科
膀胱过度活动症,内科
膀胱过度活动症,泌尿内科
β-氨基酸尿,内科
β-氨基酸尿,泌尿内科
氨基酸尿症,内科
氨基酸尿症,泌尿内科
安卡性肾炎,内科
安卡性肾炎,泌尿内科
肾虚,内科
肾虚,泌尿内科
膀胱炎,内科
膀胱炎,泌尿内科
尿道炎,内科
尿道炎,泌尿内科
遗尿症,内科
遗尿症,泌尿内科
尿路感染,内科
尿路感染,泌尿内科
肾上腺囊肿,内科
肾上腺囊肿,泌尿内科
冠状动脉供血不足,内科
冠状动脉供血不足,心内科
心房颤动,内科
心房颤动,心内科
急性冠脉综合征,内科
急性冠脉综合征,心内科
窦性心动过缓,内科
窦性心动过缓,心内科
高血压性心脏病,内科
高血压性心脏病,心内科
高脂血症,内科
高脂血症,心内科
室性心律失常,内科
室性心律失常,心内科
恶性高血压,内科
恶性高血压,心内科
心血管疾病,内科
心血管疾病,心内科
右束支传导阻滞,内科
右束支传导阻滞,心内科
老年人低血压,内科
老年人低血压,心内科
双主动脉弓,内科
双主动脉弓,心内科
血毒,内科
血毒,血液科
血稠,内科
血稠,血液科
血小板减少性紫癜,内科
血小板减少性紫癜,血液科
血瘀体质,内科
血瘀体质,血液科
血液病,内科
血液病,血液科
低钙血症,内科
低钙血症,血液科
溶血性黄疸,内科
溶血性黄疸,血液科
营养性贫血,内科
营养性贫血,血液科
老年人原发性...,内科
老年人原发性...,血液科
小细胞低色素性贫血,内科
小细胞低色素性贫血,血液科
老年人多发性骨髓瘤,内科
老年人多发性骨髓瘤,血液科
血栓形成,内科
血栓形成,血液科
老年人糖尿病,内科
老年人糖尿病,内分泌科
甲状腺炎,内科
甲状腺炎,内分泌科
高甘油三酯血症,内科
高甘油三酯血症,内分泌科
内分泌病,内科
内分泌病,内分泌科
甲状腺弥漫性病变,内科
甲状腺弥漫性病变,内分泌科
肾性水肿,内科
肾性水肿,内分泌科
甲状腺功能亢...,内科
甲状腺功能亢...,内分泌科
肢端肥大症,内科
肢端肥大症,内分泌科
发育迟缓,内科
发育迟缓,内分泌科
糖尿病和高血压,内科
糖尿病和高血压,内分泌科
甲状腺疾病,内科
甲状腺疾病,内分泌科
闭锁综合征,内科
闭锁综合征,神经内科
缺血性脑卒中,内科
缺血性脑卒中,神经内科
肌肉痉挛,内科
肌肉痉挛,神经内科
交感神经型颈椎病,内科
交感神经型颈椎病,神经内科
神经炎,内科
神经炎,神经内科
心脑血管疾病,内科
心脑血管疾病,神经内科
脑血管痉挛,内科
脑血管痉挛,神经内科
股神经痛,内科
股神经痛,神经内科
蛋白尿,内科
蛋白尿,肾内科
肾小球肾炎,内科
肾小球肾炎,肾内科
慢性肾功能不全,内科
慢性肾功能不全,肾内科
膀胱肿瘤,内科
膀胱肿瘤,肾内科
老年人肾病综合征,内科
老年人肾病综合征,肾内科
肾萎缩,内科
肾萎缩,肾内科
嗜血细胞综合症,内科
嗜血细胞综合症,肾内科
寄生虫性尿路感染,内科
寄生虫性尿路感染,肾内科
隐匿型肾炎,内科
隐匿型肾炎,肾内科
急性肾小球肾炎,内科
急性肾小球肾炎,肾内科
衣原体尿路感染,内科
衣原体尿路感染,肾内科
先天性肾上腺...,内科
先天性肾上腺...,遗传病科
遗传病,内科
遗传病,遗传病科
心-耳综合征,内科
心-耳综合征,遗传病科
沃纳综合征,内科
沃纳综合征,遗传病科
血色病,内科
血色病,遗传病科
血卟啉病,内科
血卟啉病,遗传病科
染色体异常,内科
染色体异常,遗传病科
小儿唐氏综合征,内科
小儿唐氏综合征,遗传病科
遗传性肥胖,内科
遗传性肥胖,遗传病科
多肌炎,内科
多肌炎,风湿免疫科
脊柱关节炎,内科
脊柱关节炎,风湿免疫科
老年人骨关节炎,内科
老年人骨关节炎,风湿免疫科
风湿性疾病,内科
风湿性疾病,风湿免疫科
斯蒂尔病,内科
斯蒂尔病,风湿免疫科
韦格纳肉芽肿,内科
韦格纳肉芽肿,风湿免疫科
系统性红斑狼...,内科
系统性红斑狼...,风湿免疫科
痛风石,内科
痛风石,风湿免疫科
慢性皮肤粘膜...,内科
慢性皮肤粘膜...,风湿免疫科
复发性多软骨炎性,内科
复发性多软骨炎性,风湿免疫科
吞噬功能缺陷病,内科
吞噬功能缺陷病,风湿免疫科
抗体免疫缺陷病,内科
抗体免疫缺陷病,风湿免疫科
乳腺结节,外科
乳腺结节,普外科
肾盂旁囊肿,外科
肾盂旁囊肿,泌尿外科
腹股沟淋巴结炎,外科
腹股沟淋巴结炎,感染科
肋软骨炎,外科
肋软骨炎,心胸外科
跟痛症,外科
跟痛症,骨外科
浸润性乳腺癌,外科
浸润性乳腺癌,普外科
筋膜炎,外科
筋膜炎,骨外科
骨膜炎,外科
骨膜炎,骨外科
骶髂关节炎,外科
骶髂关节炎,骨外科
化脓性乳腺炎,外科
化脓性乳腺炎,普外科
骨癌,外科
骨癌,骨外科
小叶增生,外科
小叶增生,普外科
铜绿假单胞菌感染,外科
铜绿假单胞菌感染,感染科
假单胞菌感染,外科
假单胞菌感染,感染科
甲周炎,外科
甲周炎,感染科
流感嗜血杆菌感染,外科
流感嗜血杆菌感染,感染科
败血症,外科
败血症,感染科
葡萄球菌感染,外科
葡萄球菌感染,感染科
囊虫病,外科
囊虫病,感染科
脾脓肿,外科
脾脓肿,感染科
混合性厌氧菌感染,外科
混合性厌氧菌感染,感染科
减压病,外科
减压病,感染科
口蹄疫,外科
口蹄疫,感染科
脉管炎,外科
脉管炎,普外科
乳腺囊肿,外科
乳腺囊肿,普外科
?N动脉陷迫综合征,外科
?N动脉陷迫综合征,普外科
血管炎,外科
血管炎,普外科
巨乳症,外科
巨乳症,普外科
外生殖器畸形,外科
外生殖器畸形,普外科
动静脉血管瘤,外科
动静脉血管瘤,普外科
毛细血管瘤,外科
毛细血管瘤,普外科
腰椎病,外科
腰椎病,骨外科
椎管狭窄,外科
椎管狭窄,骨外科
骨结核,外科
骨结核,骨外科
跟腱炎,外科
跟腱炎,骨外科
许莫氏结节,外科
许莫氏结节,骨外科
骨裂,外科
骨裂,骨外科
膝关节韧带损伤,外科
膝关节韧带损伤,骨外科
室管膜肿瘤,外科
室管膜肿瘤,神经外科
蛛网膜囊肿,外科
蛛网膜囊肿,神经外科
脑水肿,外科
脑水肿,神经外科
骶管囊肿,外科
骶管囊肿,神经外科
风湿免疫病,外科
风湿免疫病,神经外科
透明隔囊肿,外科
透明隔囊肿,神经外科
脑囊肿,外科
脑囊肿,神经外科
颅脑损伤,外科
颅脑损伤,神经外科
髓母细胞瘤,外科
髓母细胞瘤,神经外科
自发性蛛网膜...,外科
自发性蛛网膜...,神经外科
脑血栓形成,外科
脑血栓形成,神经外科
脊髓血管畸形,外科
脊髓血管畸形,神经外科
乳腺疾病,外科
乳腺疾病,心胸外科
弥漫性胸膜间皮瘤,外科
弥漫性胸膜间皮瘤,心胸外科
乳糜胸,外科
乳糜胸,心胸外科
空气栓塞,外科
空气栓塞,心胸外科
张力性气胸,外科
张力性气胸,心胸外科
胸腺癌,外科
胸腺癌,心胸外科
胸壁深部软组织感染,外科
胸壁深部软组织感染,心胸外科
肺泡癌,外科
肺泡癌,心胸外科
肺不发育或发育不全,外科
肺不发育或发育不全,心胸外科
先天性胸骨后膈疝,外科
先天性胸骨后膈疝,心胸外科
胸壁软组织肿瘤,外科
胸壁软组织肿瘤,心胸外科
胆管结石,外科
胆管结石,肝胆外科
胆囊息肉样病变,外科
胆囊息肉样病变,肝胆外科
胆囊囊肿,外科
胆囊囊肿,肝胆外科
黄疸性肝炎,外科
黄疸性肝炎,肝胆外科
先天性肝内胆...,外科
先天性肝内胆...,肝胆外科
胰腺肉瘤,外科
胰腺肉瘤,肝胆外科
急性胆管炎,外科
急性胆管炎,肝胆外科
肝结石,外科
肝结石,肝胆外科
急性梗阻性化...,外科
急性梗阻性化...,肝胆外科
老年人胆囊癌,外科
老年人胆囊癌,肝胆外科
老年人急性胰腺炎,外科
老年人急性胰腺炎,肝胆外科
胆道结石,外科
胆道结石,肝胆外科
前列腺病,外科
前列腺病,泌尿外科
男假两性畸形,外科
男假两性畸形,泌尿外科
急性尿道炎,外科
急性尿道炎,泌尿外科
马蹄形肾,外科
马蹄形肾,泌尿外科
睾丸囊肿,外科
睾丸囊肿,泌尿外科
滴虫性尿道炎,外科
滴虫性尿道炎,泌尿外科
泌尿生殖系放线菌病,外科
泌尿生殖系放线菌病,泌尿外科
肾钙乳,外科
肾钙乳,泌尿外科
泌尿系结石,外科
泌尿系结石,泌尿外科
霉菌性尿道炎,外科
霉菌性尿道炎,泌尿外科
阴囊癌,外科
阴囊癌,泌尿外科
冻伤,外科
冻伤,烧伤科
浸渍足,外科
浸渍足,烧伤科
外阴烧伤、烫...,外科
外阴烧伤、烫...,烧伤科
小儿触电与雷击,外科
小儿触电与雷击,烧伤科
触电,外科
触电,烧伤科
烧伤败血症,外科
烧伤败血症,烧伤科
电灼伤,外科
电灼伤,烧伤科
烧伤休克,外科
烧伤休克,烧伤科
烧伤,外科
烧伤,烧伤科
烧伤感染,外科
烧伤感染,烧伤科
热烧伤,外科
热烧伤,烧伤科
化学烧伤,外科
化学烧伤,烧伤科
肛门息肉,外科
肛门息肉,肛肠科
肛肠疾病,外科
肛肠疾病,肛肠科
小肠炎,外科
小肠炎,肛肠科
肛乳头瘤,外科
肛乳头瘤,肛肠科
瘘疮,外科
瘘疮,肛肠科
肛管直肠周围脓肿,外科
肛管直肠周围脓肿,肛肠科
内痔,外科
内痔,肛肠科
外痔,外科
外痔,肛肠科
肛提肌综合征,外科
肛提肌综合征,肛肠科
肛周湿疹,外科
肛周湿疹,肛肠科
肛裂,外科
肛裂,肛肠科
会阴下降综合征,外科
会阴下降综合征,肛肠科
女性假两性畸形,外科
女性假两性畸形,整形美容科
先天性并指多指畸形,外科
先天性并指多指畸形,整形美容科
小颌畸形综合征,外科
小颌畸形综合征,整形美容科
排卵期出血,妇产科
排卵期出血,妇科
妇科炎症,妇产科
妇科炎症,妇科
妇科病,妇产科
妇科病,妇科
宫颈湿疣,妇产科
宫颈湿疣,妇科
无脑儿,妇产科
无脑儿,产科
宫颈癌前病变,妇产科
宫颈癌前病变,妇科
子宫内膜厚,妇产科
子宫内膜厚,妇科
盆腔疾病,妇产科
盆腔疾病,妇科
子宫囊肿,妇产科
子宫囊肿,妇科
人工流产,妇产科
人工流产,产科
绝经后子宫颈癌,妇产科
绝经后子宫颈癌,妇科
混合型阴道炎,妇产科
混合型阴道炎,妇科
外阴疖病,妇产科
外阴疖病,妇科
原发性痛经,妇产科
原发性痛经,妇科
绝经,妇产科
绝经,妇科
产后风,妇产科
产后风,产科
早孕反应,妇产科
早孕反应,产科
胚胎停育,妇产科
胚胎停育,产科
习惯性流产,妇产科
习惯性流产,产科
妊娠合并风湿...,妇产科
妊娠合并风湿...,产科
妊娠疱疹,妇产科
妊娠疱疹,产科
完全流产,妇产科
完全流产,产科
妊娠痒疹,妇产科
妊娠痒疹,产科
胎儿生长受限,妇产科
胎儿生长受限,产科
早产,妇产科
早产,产科
小儿腹泻病,儿科
小儿腹泻病,小儿内科
新生儿乙型肝炎,儿科
新生儿乙型肝炎,小儿内科
小儿贲门失弛缓症,儿科
小儿贲门失弛缓症,儿科综合
小儿急性上呼...,儿科
小儿急性上呼...,小儿内科
小儿肾病综合征,儿科
小儿肾病综合征,儿科综合
母乳性腹泻,儿科
母乳性腹泻,小儿内科
婴儿痉挛症,儿科
婴儿痉挛症,小儿内科
小儿胃肠炎,儿科
小儿胃肠炎,小儿内科
小儿急性胃炎,儿科
小儿急性胃炎,小儿内科
小儿烫伤,儿科
小儿烫伤,小儿外科
小儿红白血病,儿科
小儿红白血病,儿科综合
小儿甲状腺功...,儿科
小儿甲状腺功...,儿科综合
小儿结膜吸吮线虫病,儿科
小儿结膜吸吮线虫病,儿科综合
小儿溃疡性结肠炎,儿科
小儿溃疡性结肠炎,儿科综合
小儿家族性复...,儿科
小儿家族性复...,儿科综合
小儿胃结块症,儿科
小儿胃结块症,儿科综合
小儿肌阵挛性癫痫,儿科
小儿肌阵挛性癫痫,儿科综合
小儿选择性免...,儿科
小儿选择性免...,儿科综合
小儿神经性厌食,儿科
小儿神经性厌食,儿科综合
小儿遗尿,儿科
小儿遗尿,儿科综合
小儿肠套叠,儿科
小儿肠套叠,小儿外科
新生儿先天性膈疝,儿科
新生儿先天性膈疝,小儿外科
小儿先天性胆...,儿科
小儿先天性胆...,小儿外科
脐膨出,儿科
脐膨出,小儿外科
婴幼儿脐疝,儿科
婴幼儿脐疝,小儿外科
新生儿尿布皮炎,儿科
新生儿尿布皮炎,小儿外科
新生儿皮下坏疽,儿科
新生儿皮下坏疽,小儿外科
小儿两性畸形,儿科
小儿两性畸形,小儿外科
小儿输尿管脱垂,儿科
小儿输尿管脱垂,小儿外科
小儿指甲-髌...,儿科
小儿指甲-髌...,小儿外科
小儿睾丸扭转,儿科
小儿睾丸扭转,小儿外科
小儿癫痫,儿科
小儿癫痫,小儿内科
幼年型类风湿...,儿科
幼年型类风湿...,小儿内科
小儿急性血行...,儿科
小儿急性血行...,小儿内科
小儿干燥综合征,儿科
小儿干燥综合征,小儿内科
小儿心肌炎,儿科
小儿心肌炎,小儿内科
念珠菌性包皮龟头炎,男科
龟头珍珠疹,男科
龟头癌,男科
滴虫性包皮龟头炎,男科
男科病,男科
睾丸鞘膜积液,男科
阴茎珍珠疹,男科
蹼状阴茎,男科
急性包皮炎,男科
血精症,男科
阴茎淋巴管炎,男科
睾丸畸形,男科
包茎,男科
包皮炎,男科
包皮龟头炎,男科
包皮阴茎头炎,男科
不射精症,男科
包皮过长,男科
包茎过长,男科
勃起功能障碍,男科
包皮水肿,男科
多睾症,男科
非淋性前列腺炎,男科
附睾炎,男科
非细菌性前列腺炎,男科
附睾畸形,男科
睾丸扭转,男科
睾丸炎,男科
睾丸损伤,男科
龟头炎,男科
睾丸畸胎瘤,男科
精子畸形,男科
精囊结石,男科
急性细菌性前列腺炎,男科
急性附睾炎,男科
精囊囊肿,男科
急性腮腺炎性睾丸炎,男科
急性非特异性睾丸炎,男科
精液不液化,男科
精囊炎,男科
精索静脉曲张,男科
老年男性性功能障碍,男科
淋病合并症前列腺炎,男科
淋病合并症精囊炎,男科
良性前列腺增生,男科
